"","datetime","station_temp","dew_point","rel_humid","precip","pressure"
"63",2023-06-09 15:00:00,15.1,8.2,63,0,95.45
"64",2023-06-09 16:00:00,13.4,8.1,70,0,95.46
"65",2023-06-09 17:00:00,11.8,7,72,0,95.47
"66",2023-06-09 18:00:00,9.8,6.5,80,0,95.49
"67",2023-06-09 19:00:00,10.3,7.3,82,0,95.5
"68",2023-06-09 20:00:00,10.2,7.8,85,0,95.48
"69",2023-06-09 21:00:00,10,7.3,83,0,95.52
"70",2023-06-09 22:00:00,9,6.3,83,0,95.51
"71",2023-06-09 23:00:00,9.3,6.4,82,0,95.5
"72",2023-06-10,11.2,7.5,78,0,95.53
"73",2023-06-10 01:00:00,13.6,8.8,72,0,95.54
"74",2023-06-10 02:00:00,16.3,8.9,61,0,95.56
"75",2023-06-10 03:00:00,18.1,9,55,0,95.55
"76",2023-06-10 04:00:00,20.2,8.5,47,0,95.54
"77",2023-06-10 05:00:00,21.3,7.3,40,0,95.51
"78",2023-06-10 06:00:00,22.2,7.5,39,0,95.48
"79",2023-06-10 07:00:00,23.2,6.3,34,0,95.44
"80",2023-06-10 08:00:00,23.5,5.9,32,0,95.39
"81",2023-06-10 09:00:00,24.4,5.8,30,0,95.37
"82",2023-06-10 10:00:00,24.4,5.2,29,0,95.31
"83",2023-06-10 11:00:00,24.7,4.5,27,0,95.27
"84",2023-06-10 12:00:00,24.3,4.9,29,0,95.26
"85",2023-06-10 13:00:00,23.3,4.4,29,0,95.25
"86",2023-06-10 14:00:00,22.2,3.8,30,0,95.23
"87",2023-06-10 15:00:00,18.4,5.4,42,0,95.2
"88",2023-06-10 16:00:00,17.6,4.9,43,0,95.2
"89",2023-06-10 17:00:00,16.6,5.4,48,0,95.19
"90",2023-06-10 18:00:00,15.1,6,55,0,95.17
"91",2023-06-10 19:00:00,14.4,6,57,0,95.15
"92",2023-06-10 20:00:00,14.9,5.4,53,0,95.14
"93",2023-06-10 21:00:00,17.1,4.9,45,0,95.11
"94",2023-06-10 22:00:00,17.8,4.3,41,0,95.1
"95",2023-06-10 23:00:00,15.4,5.4,51,0,95.14
"96",2023-06-11,15.5,6.1,53,0,95.15
"97",2023-06-11 01:00:00,17.4,5.9,47,0,95.18
"98",2023-06-11 02:00:00,19.4,7.3,45,0,95.18
"99",2023-06-11 03:00:00,21.9,8.3,42,0,95.14
"100",2023-06-11 04:00:00,24,6,31,0,95.09
"101",2023-06-11 05:00:00,24.3,8,35,0,95.05
"102",2023-06-11 06:00:00,25.2,9,36,0,95.02
"103",2023-06-11 07:00:00,26.6,9.1,33,0,95
"104",2023-06-11 08:00:00,26.8,9,33,0,94.97
"105",2023-06-11 09:00:00,26.4,8.6,33,0,94.92
"106",2023-06-11 10:00:00,28,6.4,25,0,94.9
"107",2023-06-11 11:00:00,27.7,5.6,25,0,94.87
"108",2023-06-11 12:00:00,27.9,8.1,29,0,94.86
"109",2023-06-11 13:00:00,27.1,8.6,31,0,94.81
"110",2023-06-11 14:00:00,25.5,11.4,41,0,94.82
"111",2023-06-11 15:00:00,19.8,10.6,56,0,94.8
"112",2023-06-11 16:00:00,17.5,9.8,61,0,94.81
"113",2023-06-11 17:00:00,15.9,8.8,63,0,94.84
"114",2023-06-11 18:00:00,15,8,63,0,94.86
"115",2023-06-11 19:00:00,15.4,8.2,62,0,94.86
"116",2023-06-11 20:00:00,13.4,8.6,73,0,94.85
"117",2023-06-11 21:00:00,12.2,8,75,0,94.84
"118",2023-06-11 22:00:00,11.6,7.1,74,0,94.86
"119",2023-06-11 23:00:00,11.6,7.3,75,0,94.88
"120",2023-06-12,12.3,9.1,81,0,94.89
"121",2023-06-12 01:00:00,15.6,10.8,73,0,94.91
"122",2023-06-12 02:00:00,17.7,12,69,0,94.93
"123",2023-06-12 03:00:00,20.2,11.2,56,0,94.93
"124",2023-06-12 04:00:00,23,12.9,53,0,94.93
"125",2023-06-12 05:00:00,24.7,14.1,52,0,94.91
"126",2023-06-12 06:00:00,26.6,13,43,0,94.88
"127",2023-06-12 07:00:00,27.3,13.4,42,0,94.86
"128",2023-06-12 08:00:00,27.2,13.1,42,0,94.85
"129",2023-06-12 09:00:00,27.2,12.5,40,0,94.81
"130",2023-06-12 10:00:00,28.1,12.7,39,0,94.81
"131",2023-06-12 11:00:00,25.4,13.3,47,0,94.8
"132",2023-06-12 12:00:00,25.6,15,52,0,94.79
"133",2023-06-12 13:00:00,25,13.9,50,0,94.81
"134",2023-06-12 14:00:00,23.7,14.3,56,0,94.8
"135",2023-06-12 15:00:00,21,10.2,50,0,94.84
"136",2023-06-12 16:00:00,19.5,8.6,49,0,94.86
"137",2023-06-12 17:00:00,18.2,5.5,43,0,94.88
"138",2023-06-12 18:00:00,15.4,6,53,0,94.9
"139",2023-06-12 19:00:00,13.2,7.5,68,0,94.9
"140",2023-06-12 20:00:00,11.6,6.4,71,0,94.86
"141",2023-06-12 21:00:00,11.3,6.7,73,0,94.83
"142",2023-06-12 22:00:00,12.2,6.6,69,0,94.82
"143",2023-06-12 23:00:00,10.7,6.3,74,0,94.8
"144",2023-06-13,12.7,7.2,69,0,94.75
"145",2023-06-13 01:00:00,15,8.2,64,0,94.76
"146",2023-06-13 02:00:00,16.8,8,56,0,94.75
"147",2023-06-13 03:00:00,18.4,9.1,55,0,94.73
"148",2023-06-13 04:00:00,20.5,10.2,52,0,94.68
"149",2023-06-13 05:00:00,23,9.6,43,0,94.64
"150",2023-06-13 06:00:00,24.6,10.4,41,0,94.58
"151",2023-06-13 07:00:00,26.3,11,38,0,94.52
"152",2023-06-13 08:00:00,27.5,10.1,34,0,94.46
"153",2023-06-13 09:00:00,27.7,10.4,34,0,94.37
"154",2023-06-13 10:00:00,28.2,11.2,35,0,94.3
"155",2023-06-13 11:00:00,27.8,10.5,34,0,94.2
"156",2023-06-13 12:00:00,26.9,10.9,37,0,94.1
"157",2023-06-13 13:00:00,25.9,11.9,42,0,94.04
"158",2023-06-13 14:00:00,24.4,12,46,0,94
"159",2023-06-13 15:00:00,23.2,11.6,48,0,93.95
"160",2023-06-13 16:00:00,21.6,13.1,58,0,93.95
"161",2023-06-13 17:00:00,19.8,12.3,62,0,93.92
"162",2023-06-13 18:00:00,18,12.6,71,0,93.89
"163",2023-06-13 19:00:00,17,13.7,81,0,93.86
"164",2023-06-13 20:00:00,15.9,13.6,87,0,93.83
"165",2023-06-13 21:00:00,15.1,13,87,0,93.77
"166",2023-06-13 22:00:00,14.7,12.4,86,0,93.74
"167",2023-06-13 23:00:00,14.1,12,87,0,93.71
"168",2023-06-14,14.4,12,85,0,93.66
"169",2023-06-14 01:00:00,15.8,12.2,79,0,93.66
"170",2023-06-14 02:00:00,17.8,11.9,68,0,93.63
"171",2023-06-14 03:00:00,20.3,11.3,56,0,93.61
"172",2023-06-14 04:00:00,22.2,10,46,0,93.57
"173",2023-06-14 05:00:00,25.6,10,37,0,93.5
"174",2023-06-14 06:00:00,27.6,9.8,33,0,93.49
"175",2023-06-14 07:00:00,30.4,7.2,23,0,93.45
"176",2023-06-14 08:00:00,22.2,13.5,58,0,93.58
"177",2023-06-14 09:00:00,20.5,14,66,0,93.54
"178",2023-06-14 10:00:00,24.3,14,53,0,93.51
"179",2023-06-14 11:00:00,20.3,11.2,56,0,93.6
"180",2023-06-14 12:00:00,17.3,15.4,88,4.8,93.57
"181",2023-06-14 13:00:00,18.1,14,77,0.5,93.47
"182",2023-06-14 14:00:00,19.4,12.9,66,0,93.57
"183",2023-06-14 15:00:00,17.9,14.2,79,0,93.61
"184",2023-06-14 16:00:00,16,12.6,80,0,93.67
"185",2023-06-14 17:00:00,15.5,11.9,79,0,93.64
